name,scientific_name,description,uses,preparation,location,image_url,family,parts_used,properties,precautions,hindi_name,sanskrit_name,english_name,regional_names,chemical_compounds,therapeutic_actions,dosage,season,habitat
Carrot,Daucus carota,"Orange root rich in vitamin A","Night blindness weakness anemia digestive issues","Fresh root juice","Central Asia","https://example.com/carrot.jpg","Apiaceae","Root","Cooling sweet","Generally safe; may cause orange skin in excess","Gajar","Gajara","Carrot","Carrot (Tamil) Gajar (Bengali)","Beta-carotene vitamin A fiber","Nutritive eye tonic laxative","1 medium carrot daily","Winter","Temperate regions"
Beetroot,Beta vulgaris,"Red root for blood and liver health","Anemia liver disorders constipation weakness","Fresh root juice","Mediterranean","https://example.com/beetroot.jpg","Amaranthaceae","Root","Cooling sweet","May cause red urine; generally safe","Chukandar","Palandu","Beetroot","Beetroot (Tamil) Bit (Bengali)","Nitrates betalains folate","Blood tonic liver tonic laxative","1 small beetroot daily","Winter","Temperate regions"
Onion,Allium cepa,"Pungent bulb for circulation and digestion","Cold cough diabetes heart disorders","Fresh bulb juice","Central Asia","https://example.com/onion.jpg","Amaryllidaceae","Bulb","Warming pungent","May cause gastric irritation; bad breath","Pyaz","Palandu","Onion","Vengayam (Tamil) Piyaj (Bengali)","Quercetin sulfur compounds allicin","Antimicrobial expectorant circulatory","1 medium onion daily","Year round","Temperate regions"
Garlic,Allium sativum,"Pungent bulb for immunity and circulation","Cold cough high blood pressure infections","Fresh cloves oil","Central Asia","https://example.com/garlic.jpg","Amaryllidaceae","Bulbs","Warming pungent","May increase bleeding; strong odor","Lehsun","Lasuna","Garlic","Poondu (Tamil) Rasun (Bengali)","Allicin sulfur compounds","Antimicrobial hypotensive immunomodulator","2-3 cloves daily","Year round","Temperate regions"
Spinach,Spinacia oleracea,"Green leafy vegetable for blood health","Anemia weakness eye disorders constipation","Fresh leaves juice","Persia","https://example.com/spinach.jpg","Amaranthaceae","Leaves","Cooling sweet","May cause kidney stones; high oxalates","Palak","Palakya","Spinach","Pasalaikeerai (Tamil) Palong Shaak (Bengali)","Iron folate vitamin K","Blood tonic nutritive laxative","1 cup daily","Winter","Temperate regions"
Fenugreek Leaves,Trigonella foenum-graecum,"Aromatic leaves for digestion and lactation","Indigestion diabetes hair fall lactation","Fresh leaves dried leaves","Mediterranean India","https://example.com/fenugreekleaves.jpg","Fabaceae","Leaves","Warming bitter","Generally safe; may lower blood sugar","Methi Saag","Medhika Patra","Fenugreek Leaves","Vendhayakeerai (Tamil) Methi Shaak (Bengali)","Vitamins minerals fiber","Digestive galactagogue antidiabetic","1 cup daily","Winter","Temperate regions"
Coriander,Coriandrum sativum,"Aromatic herb for digestion and cooling","Indigestion fever urinary disorders skin issues","Fresh leaves seeds","Mediterranean","https://example.com/coriander.jpg","Apiaceae","Leaves seeds","Cooling aromatic","Generally safe","Dhania","Dhanyaka","Coriander","Kothamalli (Tamil) Dhania (Bengali)","Essential oils vitamin C","Digestive cooling diuretic","Fresh leaves daily","Year round","Temperate regions"
Mint,Mentha spicata,"Cooling aromatic herb for digestion","Indigestion nausea fever respiratory disorders","Fresh leaves oil","/attached_assets/generated_images/Mint_leaves_close-up_1d26592b.png","Lamiaceae","Leaves","Cooling aromatic","Generally safe; may cause heartburn","Pudina","Putiha","Mint","Pudina (Tamil) Pudina (Bengali)","Menthol essential oils","Digestive cooling carminative","Fresh leaves daily","Year round","Temperate regions"
Basil,Ocimum basilicum,"Aromatic herb for digestion and immunity","Cold cough fever stress digestive disorders","Fresh leaves oil","India Southeast Asia","https://example.com/basil.jpg","Lamiaceae","Leaves","Warming aromatic","Generally safe","Sabz Tulsi","Barbara","Sweet Basil","Thiruneetru Pachai (Tamil) Babui Tulsi (Bengali)","Essential oils eugenol","Digestive antimicrobial carminative","Fresh leaves daily","Year round","Tropical regions"
Curry Leaves,Murraya koenigii,"Aromatic leaves for digestion and hair health","Indigestion diabetes hair loss fever","Fresh leaves","India Sri Lanka","https://example.com/curryleaves.jpg","Rutaceae","Leaves","Warming aromatic","Generally safe","Curry Patta","Surabhi","Curry Leaves","Karuvepilai (Tamil) Curry Pata (Bengali)","Essential oils carbazole alkaloids","Digestive antidiabetic hair tonic","10-15 leaves daily","Year round","Tropical regions"
Dill,Anethum graveolens,"Aromatic herb for digestion and lactation","Indigestion flatulence lactation colic","Fresh leaves seeds","Mediterranean","https://example.com/dill.jpg","Apiaceae","Leaves seeds","Warming aromatic","Generally safe","Suva","Shatapushpa","Dill","Sada Kuppai (Tamil) Shaluk (Bengali)","Essential oils carvone","Digestive carminative galactagogue","Fresh leaves or 1g seeds daily","Year round","Temperate regions"
Fennel,Foeniculum vulgare,"Sweet aromatic seeds for digestion","Indigestion flatulence colic eye disorders","Seeds leaves","Mediterranean","https://example.com/fennel.jpg","Apiaceae","Seeds leaves","Cooling sweet aromatic","Generally safe; may cause allergic reactions","Saunf","Madhurika","Fennel","Sombu (Tamil) Mouri (Bengali)","Anethole fenchone essential oils","Digestive carminative eye tonic","1 tsp seeds after meals","Year round","Mediterranean climate"
Cumin,Cuminum cyminum,"Warming spice for digestion","Indigestion flatulence fever cold","Seeds powder","Mediterranean Middle East","https://example.com/cumin.jpg","Apiaceae","Seeds","Warming pungent","Generally safe","Jeera","Jiraka","Cumin","Jeeragam (Tamil) Jira (Bengali)","Cuminaldehyde essential oils","Digestive carminative stimulant","1 tsp seeds daily","Year round","Arid regions"
Carom Seeds,Trachyspermum ammi,"Warming seeds for digestion and respiratory health","Indigestion flatulence cough cold asthma","Seeds oil","India Iran","https://example.com/ajwain.jpg","Apiaceae","Seeds","Warming pungent","May increase body heat","Ajwain","Yavani","Carom Seeds","Omam (Tamil) Jowan (Bengali)","Thymol carvacrol essential oils","Digestive carminative antispasmodic","1/2 tsp seeds daily","Year round","Arid regions"
Mustard Seeds,Brassica nigra,"Warming seeds for circulation and digestion","Cold cough joint pain indigestion","Seeds oil","Mediterranean","https://example.com/mustardseed.jpg","Brassicaceae","Seeds","Warming pungent","May cause skin irritation","Rai","Sarshapa","Mustard","Kadugu (Tamil) Sorse (Bengali)","Allyl isothiocyanate essential oils","Warming stimulant rubefacient","1/2 tsp seeds daily","Year round","Temperate regions"
Sesame,Sesamum indicum,"Nutritive seeds for strength and hair health","Weakness hair loss dry skin constipation","Seeds oil","India Africa","https://example.com/sesame.jpg","Pedaliaceae","Seeds","Warming sweet","Generally safe; may increase body heat","Til","Tila","Sesame","Ellu (Tamil) Til (Bengali)","Sesamin sesamolin vitamin E","Nutritive laxative hair tonic","1 tbsp seeds daily","Year round","Tropical regions"
Flaxseed,Linum usitatissimum,"Omega-3 rich seeds for heart and digestive health","Constipation heart disease inflammation dry skin","Seeds oil","Mediterranean","https://example.com/flaxseed.jpg","Linaceae","Seeds","Cooling sweet","May interact with blood thinners","Alsi","Atasi","Flax","Ali Vidhai (Tamil) Tishi (Bengali)","Alpha-linolenic acid lignans","Laxative cardioprotective anti-inflammatory","1 tbsp seeds daily","Year round","Temperate regions"
Sunflower Seeds,Helianthus annuus,"Nutritive seeds rich in vitamin E","Weakness skin disorders hair loss heart disease","Seeds oil","North America","https://example.com/sunflowerseeds.jpg","Asteraceae","Seeds","Cooling sweet","Generally safe","Surajmukhi","Suryamukhi","Sunflower","Sooriyakanti (Tamil) Surjomukhi (Bengali)","Vitamin E linoleic acid","Nutritive antioxidant cardioprotective","1 tbsp seeds daily","Year round","Temperate regions"
Pumpkin Seeds,Cucurbita pepo,"Nutritive seeds for prostate and parasites","Worm infections prostate disorders weakness","Seeds","North America","https://example.com/pumpkinseeds.jpg","Cucurbitaceae","Seeds","Cooling sweet","Generally safe","Kaddu Beej","Kushmanada Beeja","Pumpkin Seeds","Poosanikai Vithai (Tamil) Kumra Bichi (Bengali)","Zinc magnesium protein","Anthelmintic nutritive prostate tonic","1 tbsp seeds daily","Year round","Temperate regions"
Watermelon Seeds,Citrullus lanatus,"Cooling seeds for urinary health","Urinary disorders kidney stones fever","Seeds","Africa","https://example.com/watermelonseeds.jpg","Cucurbitaceae","Seeds","Cooling sweet","Generally safe","Tarbooz Beej","Kalinga Beeja","Watermelon Seeds","Thanneermoothanga Vithai (Tamil) Tarmuj Bichi (Bengali)","Protein magnesium","Diuretic cooling nutritive","1 tbsp seeds daily","Summer","Warm regions"
Chia Seeds,Salvia hispanica,"Omega-3 rich tiny seeds for energy","Weakness constipation inflammation joint pain","Seeds","Mexico Central America","https://example.com/chiaseeds.jpg","Lamiaceae","Seeds","Cooling sweet","May interact with blood thinners","Chia Beej","Chia","Chia Seeds","Chia Vithai (Tamil) Chia Bichi (Bengali)","Omega-3 fatty acids fiber protein","Nutritive anti-inflammatory laxative","1 tbsp seeds daily","Year round","Subtropical regions"
Quinoa,Chenopodium quinoa,"Complete protein grain for nutrition","Malnutrition weakness diabetes gluten sensitivity","Seeds","South America","https://example.com/quinoa.jpg","Amaranthaceae","Seeds","Cooling sweet","Generally safe","Quinoa","Quinoa","Quinoa","Quinoa (Tamil) Quinoa (Bengali)","Complete protein fiber minerals","Nutritive gluten-free strengthening","1/2 cup cooked daily","Year round","High altitude regions"
Amaranth,Amaranthus caudatus,"Nutritive grain for strength","Weakness anemia malnutrition diarrhea","Seeds leaves","Americas","https://example.com/amaranth.jpg","Amaranthaceae","Seeds leaves","Cooling sweet","Generally safe","Rajgira","Rajika","Amaranth","Keerai Vithai (Tamil) Notey Shaak (Bengali)","Protein lysine minerals","Nutritive strengthening astringent","1/2 cup cooked daily","Year round","Tropical regions"
Barley,Hordeum vulgare,"Cooling grain for urinary and digestive health","Urinary disorders fever diabetes digestive issues","Grain water","Middle East","https://example.com/barley.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Jau","Yava","Barley","Barli (Tamil) Jab (Bengali)","Beta-glucan fiber vitamins","Cooling diuretic nutritive","1/2 cup cooked daily","Year round","Temperate regions"
Oats,Avena sativa,"Heart-healthy grain for cholesterol","High cholesterol diabetes weakness digestive issues","Grain","Europe","https://example.com/oats.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Jai","Yavasa","Oats","Oats (Tamil) Oats (Bengali)","Beta-glucan fiber protein","Cardioprotective nutritive cholesterol-lowering","1/2 cup cooked daily","Year round","Cool temperate regions"
Wheat,Triticum aestivum,"Staple grain for nutrition and strength","Weakness malnutrition digestive issues","Grain flour","Middle East","https://example.com/wheat.jpg","Poaceae","Grain","Cooling sweet heavy","May cause gluten sensitivity","Gehun","Godhuma","Wheat","Godhumai (Tamil) Gom (Bengali)","Gluten protein B vitamins","Nutritive strengthening","Whole grain products daily","Year round","Temperate regions"
Rice,Oryza sativa,"Staple grain for easy digestion","Weakness digestive issues fever diarrhea","Grain","Asia","https://example.com/rice.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Chawal","Vrihi","Rice","Arisi (Tamil) Chal (Bengali)","Carbohydrates B vitamins","Nutritive easily digestible","1 cup cooked daily","Year round","Tropical subtropical regions"
Millet,Pennisetum glaucum,"Hardy grain for nutrition in dry climates","Weakness diabetes digestive issues","Grain","Africa India","https://example.com/millet.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Bajra","Priyangu","Pearl Millet","Kambu (Tamil) Bajra (Bengali)","Protein iron magnesium","Nutritive strengthening cooling","1/2 cup cooked daily","Year round","Arid regions"
Finger Millet,Eleusine coracana,"Calcium rich grain for bone health","Weak bones anemia diabetes weakness","Grain","Africa India","https://example.com/fingermillet.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Ragi","Madua","Finger Millet","Keppai (Tamil) Marua (Bengali)","Calcium protein fiber","Nutritive bone tonic strengthening","1/2 cup cooked daily","Year round","Semi-arid regions"
Sorghum,Sorghum bicolor,"Drought resistant grain for nutrition","Weakness diabetes digestive issues","Grain","Africa","https://example.com/sorghum.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Jowar","Yavasa","Sorghum","Cholam (Tamil) Jondra (Bengali)","Protein fiber antioxidants","Nutritive strengthening cooling","1/2 cup cooked daily","Year round","Semi-arid regions"
Foxtail Millet,Setaria italica,"Small grain for diabetic control","Diabetes weakness digestive issues","Grain","China","https://example.com/foxtailmillet.jpg","Poaceae","Grain","Cooling sweet","Generally safe","Kangni","Priyangu","Foxtail Millet","Thinai (Tamil) Kaun (Bengali)","Protein fiber low glycemic","Antidiabetic nutritive","1/2 cup cooked daily","Year round","Temperate regions"
Buckwheat,Fagopyrum esculentum,"Gluten-free grain for heart health","High cholesterol diabetes weakness","Grain","Central Asia","https://example.com/buckwheat.jpg","Polygonaceae","Grain","Cooling sweet","Generally safe","Kuttu","Kasha","Buckwheat","Buckwheat (Tamil) Kalo Til (Bengali)","Rutin protein fiber","Cardioprotective gluten-free nutritive","1/2 cup cooked daily","Year round","Cool temperate regions"
Black Gram,Vigna mungo,"Protein rich legume for strength","Weakness joint pain respiratory disorders","Whole beans split","India","https://example.com/blackgram.jpg","Fabaceae","Seeds","Warming sweet heavy","May cause indigestion in excess","Urad","Masha","Black Gram","Ulundhu (Tamil) Mashkalai (Bengali)","Protein fiber iron","Nutritive strengthening aphrodisiac","1/2 cup cooked daily","Year round","Tropical regions"
Green Gram,Vigna radiata,"Easy to digest protein legume","Weakness fever digestive issues detoxification","Whole beans split","India Southeast Asia","https://example.com/greengram.jpg","Fabaceae","Seeds","Cooling sweet","Generally safe","Moong","Mudga","Mung Bean","Payaru (Tamil) Mung (Bengali)","Protein fiber vitamins","Nutritive cooling easily digestible","1/2 cup cooked daily","Year round","Tropical regions"
Red Lentil,Lens culinaris,"Protein rich legume for nutrition","Weakness anemia digestive issues","Split lentils","Middle East","https://example.com/redlentil.jpg","Fabaceae","Seeds","Warming sweet","May cause flatulence","Masoor","Masura","Lentil","Masoor (Tamil) Masur (Bengali)","Protein folate iron","Nutritive blood tonic","1/2 cup cooked daily","Year round","Temperate regions"
Chickpea,Cicer arietinum,"Protein rich legume for strength","Weakness diabetes digestive issues","Whole beans flour","Middle East","https://example.com/chickpea.jpg","Fabaceae","Seeds","Warming sweet heavy","May cause flatulence","Chana","Chanaka","Chickpea","Kondaikadalai (Tamil) Chola (Bengali)","Protein fiber folate","Nutritive strengthening","1/2 cup cooked daily","Year round","Mediterranean climate"
Black-eyed Pea,Vigna unguiculata,"Nutritive legume for digestive health","Weakness digestive issues anemia","Beans","West Africa","https://example.com/blackeyedpea.jpg","Fabaceae","Seeds","Cooling sweet","Generally safe","Lobia","Alasanda","Black-eyed Pea","Karamani (Tamil) Borboti (Bengali)","Protein fiber folate","Nutritive digestive","1/2 cup cooked daily","Year round","Tropical regions"
Kidney Bean,Phaseolus vulgaris,"Protein rich large beans","Weakness diabetes heart disease","Beans","Americas","https://example.com/kidneybean.jpg","Fabaceae","Seeds","Warming sweet heavy","Must be thoroughly cooked; toxic if undercooked","Rajma","Rajmasha","Kidney Bean","Rajma (Tamil) Rajma (Bengali)","Protein fiber potassium","Nutritive cardioprotective","1/2 cup cooked daily","Year round","Temperate regions"
Peanut,Arachis hypogaea,"Protein and fat rich groundnut","Weakness dry skin hair loss heart disease","Nuts oil","South America","https://example.com/peanut.jpg","Fabaceae","Seeds","Warming sweet oily","May cause allergic reactions","Moongphali","Bhumibadam","Peanut","Nilakkadalai (Tamil) Badam (Bengali)","Protein healthy fats niacin","Nutritive moisturizing cardioprotective","Small handful daily","Year round","Tropical regions"
Almond,Prunus dulcis,"Brain tonic nut for memory","Weakness memory loss dry skin heart disease","Nuts oil","Middle East","https://example.com/almond.jpg","Rosaceae","Seeds","Warming sweet oily","Generally safe; high calorie","Badam","Vatada","Almond","Badam (Tamil) Kath Badam (Bengali)","Vitamin E healthy fats protein","Brain tonic cardioprotective moisturizing","5-10 nuts daily","Year round","Mediterranean climate"
Walnut,Juglans regia,"Brain-shaped nut for brain health","Memory loss weakness heart disease depression","Nuts","Central Asia","https://example.com/walnut.jpg","Juglandaceae","Seeds","Warming sweet oily","Generally safe; high calorie","Akhrot","Akshota","Walnut","Akroat (Tamil) Akrot (Bengali)","Omega-3 fatty acids protein","Brain tonic cardioprotective antidepressant","3-5 nuts daily","Year round","Temperate regions"
Cashew,Anacardium occidentale,"Kidney-shaped nut for strength","Weakness depression dry skin heart disease","Nuts","Brazil","https://example.com/cashew.jpg","Anacardiaceae","Seeds","Warming sweet oily","Generally safe; high calorie","Kaju","Kajuputra","Cashew","Mindiri (Tamil) Kaju (Bengali)","Healthy fats magnesium zinc","Nutritive mood enhancer moisturizing","5-10 nuts daily","Year round","Tropical coastal regions"
Pistachio,Pistacia vera,"Green nut for eye and heart health","Weakness eye disorders heart disease","Nuts","Central Asia","https://example.com/pistachio.jpg","Anacardiaceae","Seeds","Warming sweet oily","Generally safe; high calorie","Pista","Pista","Pistachio","Pista (Tamil) Pesta Badam (Bengali)","Lutein zeaxanthin healthy fats","Eye tonic cardioprotective nutritive","10-15 nuts daily","Year round","Arid regions"
Raisin,Vitis vinifera,"Dried grapes for energy and blood","Weakness anemia constipation cough","Dried fruit","Mediterranean","https://example.com/raisin.jpg","Vitaceae","Dried fruit","Warming sweet","Diabetics monitor sugar intake","Kishmish","Draksha","Raisin","Olithiratchai (Tamil) Kishmish (Bengali)","Natural sugars iron potassium","Nutritive blood tonic laxative","10-15 pieces daily","Year round","Mediterranean climate"
Date,Phoenix dactylifera,"Sweet fruit for energy and strength","Weakness anemia constipation respiratory disorders","Fresh dried fruit","Middle East","https://example.com/date.jpg","Arecaceae","Fruit","Warming sweet heavy","Diabetics monitor sugar intake","Khajoor","Kharjura","Date","Perichchampazham (Tamil) Khejur (Bengali)","Natural sugars fiber potassium","Nutritive strengthening laxative","2-4 pieces daily","Year round","Arid regions"
Fig,Ficus carica,"Sweet fruit for digestive and respiratory health","Constipation cough weakness piles","Fresh dried fruit","Mediterranean","https://example.com/fig.jpg","Moraceae","Fruit","Warming sweet","May cause loose stools in excess","Anjeer","Anjira","Fig","Shimayatti (Tamil) Dumur (Bengali)","Fiber calcium potassium","Laxative nutritive respiratory tonic","2-3 pieces daily","Year round","Mediterranean climate"
Prune,Prunus domestica,"Dried plum for digestive health","Constipation weakness bone health","Dried fruit","Caucasus","https://example.com/prune.jpg","Rosaceae","Dried fruit","Warming sweet","May cause loose stools in excess","Aloo Bukhara","Alubukhara","Prune","Alu Bukhara (Tamil) Alu Bukhara (Bengali)","Fiber sorbitol vitamin K","Laxative bone tonic nutritive","3-5 pieces daily","Year round","Temperate regions"
Apricot,Prunus armeniaca,"Orange fruit for eye and skin health","Eye disorders dry skin weakness cough","Fresh dried fruit","Central Asia","https://example.com/apricot.jpg","Rosaceae","Fruit","Warming sweet","Generally safe","Khubani","Urumana","Apricot","Khubani (Tamil) Khubani (Bengali)","Beta-carotene vitamin A potassium","Eye tonic skin tonic nutritive","2-3 pieces daily","Summer","Temperate regions"
Peach,Prunus persica,"Juicy fruit for skin and digestive health","Dry skin constipation weakness fever","Fresh fruit","China","https://example.com/peach.jpg","Rosaceae","Fruit","Cooling sweet","Generally safe","Aadu","Arataka","Peach","Peach (Tamil) Peach (Bengali)","Vitamin C beta-carotene fiber","Skin tonic laxative cooling","1 medium fruit daily","Summer","Temperate regions"
Plum,Prunus domestica,"Juicy fruit for digestive health","Constipation fever weakness digestive issues","Fresh fruit","Caucasus","https://example.com/plum.jpg","Rosaceae","Fruit","Cooling sweet sour","Generally safe","Aloo Bukhara","Alubukhara","Plum","Alu Bukhara (Tamil) Alu Bukhara (Bengali)","Vitamin C fiber antioxidants","Laxative cooling nutritive","1-2 fruits daily","Summer","Temperate regions"
Cherry,Prunus avium,"Red fruit for inflammation and sleep","Inflammation arthritis insomnia gout","Fresh fruit","Asia Minor","https://example.com/cherry.jpg","Rosaceae","Fruit","Cooling sweet sour","Generally safe; may interact with blood thinners","Cherry","Cherry","Cherry","Cherry (Tamil) Cherry (Bengali)","Anthocyanins melatonin vitamin C","Anti-inflammatory sleep promoter antioxidant","10-15 fruits daily","Summer","Cool temperate regions"
Strawberry,Fragaria × ananassa,"Red berry for vitamin C and skin health","Scurvy skin disorders weakness fever","Fresh fruit","Europe Americas","https://example.com/strawberry.jpg","Rosaceae","Fruit","Cooling sweet sour","May cause allergic reactions","Strawberry","Strawberry","Strawberry","Strawberry (Tamil) Strawberry (Bengali)","Vitamin C folate antioxidants","Antiscorbutic skin tonic cooling","5-8 fruits daily","Summer","Temperate regions"
Blueberry,Vaccinium corymbosum,"Blue berry for brain and eye health","Memory loss eye disorders weakness aging","Fresh fruit","North America","https://example.com/blueberry.jpg","Ericaceae","Fruit","Cooling sweet sour","Generally safe","Blueberry","Blueberry","Blueberry","Blueberry (Tamil) Blueberry (Bengali)","Anthocyanins vitamin C antioxidants","Brain tonic eye tonic anti-aging","1/2 cup daily","Summer","Cool temperate regions"
Blackberry,Rubus fruticosus,"Dark berry for antioxidant benefits","Weakness aging skin disorders diarrhea","Fresh fruit","Europe Asia","https://example.com/blackberry.jpg","Rosaceae","Fruit","Cooling sweet sour astringent","Generally safe","Blackberry","Blackberry","Blackberry","Blackberry (Tamil) Blackberry (Bengali)","Anthocyanins vitamin C fiber","Antioxidant astringent anti-aging","1/2 cup daily","Summer","Temperate regions"
Raspberry,Rubus idaeus,"Red berry for female health","Menstrual disorders pregnancy issues weakness","Fresh fruit leaves","Europe Asia","https://example.com/raspberry.jpg","Rosaceae","Fruit leaves","Cooling sweet sour astringent","Generally safe during pregnancy","Raspberry","Raspberry","Raspberry","Raspberry (Tamil) Raspberry (Bengali)","Vitamin C ellagic acid folate","Uterine tonic astringent antioxidant","1/2 cup daily","Summer","Cool temperate regions"
Cranberry,Vaccinium macrocarpon,"Tart berry for urinary health","Urinary tract infections kidney stones bladder issues","Fresh fruit juice","North America","https://example.com/cranberry.jpg","Ericaceae","Fruit","Cooling sour astringent","May interact with blood thinners","Cranberry","Cranberry","Cranberry","Cranberry (Tamil) Cranberry (Bengali)","Proanthocyanidins vitamin C","Urinary antiseptic astringent","1/4 cup daily","Autumn","Acidic bog conditions"
